time_s,lead_position_x_m,lead_position_y_m,lead_position_z_m,trail_position_x_m,trail_position_y_m,trail_position_z_m,midpoint_position_x_m,midpoint_position_y_m,midpoint_position_z_m,lead_force_global_x_n,lead_force_global_y_n,lead_force_global_z_n,trail_force_global_x_n,trail_force_global_y_n,trail_force_global_z_n,lead_force_local_source_x_n,lead_force_local_source_y_n,lead_force_local_source_z_n,trail_force_local_source_x_n,trail_force_local_source_y_n,trail_force_local_source_z_n,lead_free_torque_global_x_nm,lead_free_torque_global_y_nm,lead_free_torque_global_z_nm,trail_free_torque_global_x_nm,trail_free_torque_global_y_nm,trail_free_torque_global_z_nm,lead_velocity_global_x_m_s,lead_velocity_global_y_m_s,lead_velocity_global_z_m_s,trail_velocity_global_x_m_s,trail_velocity_global_y_m_s,trail_velocity_global_z_m_s,resultant_force_global_source_x_n,resultant_force_global_source_y_n,resultant_force_global_source_z_n,resultant_force_local_source_x_n,resultant_force_local_source_y_n,resultant_force_local_source_z_n,equivalent_midpoint_couple_global_source_x_nm,equivalent_midpoint_couple_global_source_y_nm,equivalent_midpoint_couple_global_source_z_nm,equivalent_midpoint_couple_local_source_x_nm,equivalent_midpoint_couple_local_source_y_nm,equivalent_midpoint_couple_local_source_z_nm,lead_force_moment_midpoint_local_source_x_nm,lead_force_moment_midpoint_local_source_y_nm,lead_force_moment_midpoint_local_source_z_nm,trail_force_moment_midpoint_local_source_x_nm,trail_force_moment_midpoint_local_source_y_nm,trail_force_moment_midpoint_local_source_z_nm,force_moment_midpoint_local_source_x_nm,force_moment_midpoint_local_source_y_nm,force_moment_midpoint_local_source_z_nm,total_free_torque_global_source_x_nm,total_free_torque_global_source_y_nm,total_free_torque_global_source_z_nm,total_free_torque_local_source_x_nm,total_free_torque_local_source_y_nm,total_free_torque_local_source_z_nm,midpoint_angular_velocity_global_x_deg_s,midpoint_angular_velocity_global_y_deg_s,midpoint_angular_velocity_global_z_deg_s,club_handle_angular_velocity_deg_s,clubhead_speed_mph,angle_of_attack_deg,lag_angle_rad,lead_linear_power_w,trail_linear_power_w,lead_angular_power_w,trail_angular_power_w,killswitch_state,kill_damping_state,lead_command_torque_nm,trail_command_torque_nm
0,0,0,1.11022302462516e-16,0,0,-1.11022302462516e-16,0,0,0,-103.586664466521,195.739931335718,195.739931335717,92.1276628605566,-194.581523584402,-194.581523584402,173.414850288014,239.344371551762,0,-178.384169097681,-228.889783783228,0,1.88737914186277e-14,-13.9226192635905,13.9226192635906,-1.64313007644523e-14,0.203296710757868,-0.203296710757897,0,0,0,0,0,0,-11.459001605964,1.15840775131528,1.15840775131526,-4.96931880966722,10.4545877685343,-3.5527136788005e-15,-8.99280649946377e-15,-1.10473463421062,1.1047346342106,-1.85892967685675e-14,-1.42594269725294e-15,1.56233070252393,-8.53483950180589e-14,6.44484465794903e-14,-213.357673253066,5.68815827772795e-14,-6.76958489265189e-14,186.596785723523,-4.02455846426619e-15,-1.06581410364015e-14,-8.92116621127902,2.44249065417534e-15,-13.7193225528327,13.7193225528327,2.77555756156289e-16,1.33226762955019e-15,19.402052020787,0,0,8.88178419700125e-16,0,0,0,0,370.651723806148,-305.264786127568,-85.9118994176132,1.25447706612488,1,1,19.6895569863266,-0.287504965539637
0.0001,-5.20580785784334e-11,-1.25214611701627e-10,-1.25214509811155e-10,3.44900653697005e-10,-3.11920640030597e-10,-3.11920760403173e-10,1.46421288196425e-10,-2.18567628631465e-10,-2.18567641131093e-10,-102.894613204135,195.211917929046,195.211917977906,91.4273475208179,-194.062566547191,-194.062566596689,173.168422319885,238.360787154593,3.45489732316425e-08,-178.153374174427,-227.906614509547,-3.50003954594558e-08,-3.71913776723108e-07,-13.8677358907621,13.8677362395737,-3.50133812724126e-07,0.203888575068869,-0.20388819572838,-1.34064871585155e-08,3.27415089480061e-08,3.27415089314206e-08,-2.13842138757597e-07,1.27232202720241e-07,1.27232202712283e-07,-11.4672656833166,1.14935138185483,1.1493513812164,-4.9849518545419,10.4541726450461,-4.5143008435909e-10,-7.2425842038969e-07,-1.10224525111225,1.10224598132991,2.27885931394456e-08,8.89090389198882e-07,1.55881069952614,9.97752745133553e-05,-0.000133244346512251,-212.533246270932,-9.12511476457516e-05,0.000138476798590636,185.849568594265,8.52412689171707e-06,5.22980224010338e-06,-8.91888967326258,-7.22047589448873e-07,-13.6638473156932,13.6638480438453,2.27886101854567e-08,8.86440559080748e-07,19.3235987029298,-1.53348109410988e-18,-2.2354229454167e-06,2.23542294626518e-06,0.000181132897617648,8.89061867834182e-07,-3.5303423432986e-06,-6.31999796186998e-09,368.424612709266,-304.681261999645,-84.0825869840851,1.22719927598041,1,1,19.6119404227708,-0.288341719841086
0.0002,-1.03919858129945e-10,-2.48413668513258e-10,-2.48413575531896e-10,6.82518634761092e-10,-6.18308882414586e-10,-6.18309011877388e-10,2.89299389572009e-10,-4.33361280934822e-10,-4.33361305637487e-10,-102.211783518623,194.694145127193,194.694145221996,90.7360899585304,-193.553725359886,-193.553725455997,172.929017592458,237.392845296879,6.7035796929755e-08,-177.929542526774,-226.938851649951,-6.79607325303188e-08,-7.21636580001265e-07,-13.813737065002,13.8137377423816,-6.79174196696226e-07,0.204470886788167,-0.204470149950443,-2.65271939604769e-08,6.49108826223316e-08,6.49108825895218e-08,-4.23752714279978e-07,2.5217340223731e-07,2.52173402221542e-07,-11.4756935600929,1.14041976730715,1.14041976599907,-5.00052493431595,10.4539936469279,-9.24947692195369e-10,-1.40510255868986e-06,-1.09981348507016,1.0998149032956,4.5099949596857e-08,1.72549911179869e-06,1.55537214950387,0.000185763243147642,-0.000253120150136269,-211.722843864629,-0.000169585919051278,0.000263083592306019,185.114993058552,1.61773241201259e-05,9.95829879471757e-06,-8.91681315240244,-1.40081077670075e-06,-13.6092661782138,13.6092675924311,4.50999648385534e-08,1.72035574296432e-06,19.2464098031781,-3.00983863951031e-18,-4.43018414668218e-06,4.43018414749172e-06,0.000358971036381965,1.75907707269299e-06,-6.95214167612613e-06,-1.25231631324633e-08,366.194806356727,-304.073446044724,-82.2763744245706,1.20026637444934,1,1,19.5355747833613,-0.289164980183327
0.0003,-1.55584051450746e-10,-3.69609992289081e-10,-3.69609907995963e-10,1.01290692726496e-09,-9.19201853223276e-10,-9.19201991518433e-10,4.28661439765148e-10,-6.44405930873283e-10,-6.44405967484772e-10,-101.538125710913,194.186547087082,194.186547224924,90.0538422362419,-193.054934915238,-193.054935055089,172.69658640424,236.440452752003,9.74691435581253e-08,-177.71262432963,-225.986404013569,-9.88895112053013e-08,-1.04925809341624e-06,-13.7606174910497,13.7606184768377,-9.87205771024081e-07,0.205043702229717,-0.205042629647167,-3.93641895254984e-08,9.65119141256512e-08,9.65119140769757e-08,-6.29758499339798e-07,3.74839039661623e-07,3.74839039638194e-07,-11.484283474671,1.13161217184371,1.13161216983498,-5.0160379253903,10.4540487384347,-1.42038390562242e-09,-2.04270726729576e-06,-1.09743895285849,1.09744101705734,6.69354032246138e-08,2.50944052714414e-06,1.55201451061801,0.000258007148191247,-0.00035968058553775,-210.926380923843,-0.000235043716823954,0.000373875974075269,184.39298269829,2.29634313906788e-05,1.41879072655852e-05,-8.91493498278467,-2.03646386444519e-06,-13.55557378882,13.5555758471905,6.69354166784746e-08,2.50195925948278e-06,19.1704777533863,-4.42964397155026e-18,-6.58455913254747e-06,6.58455913331883e-06,0.000533536741965664,2.61018735157937e-06,-1.02663240225028e-05,-1.86102956677154e-08,363.96230255701,-303.441467789497,-80.493118525606,1.17367623828277,1,1,19.4604525795282,-0.28997482614206
0.0004,-2.07049371337044e-10,-4.88816404883284e-10,-4.88816329059403e-10,1.33611851528131e-09,-1.21463667852797e-09,-1.21463682539979e-09,5.64534574414237e-10,-8.51726552410058e-10,-8.51726600638539e-10,-100.873590081929,193.689057965638,193.689058143627,89.3805564165,-192.566130106002,-192.566130286731,172.471079053735,235.503516293344,1.25857685580541e-07,-177.502569757901,-225.049180409523,-1.27795231477115e-07,-1.35486801942358e-06,-13.7083718736446,13.7083731477656,-1.27431313838417e-06,0.205607077707474,-0.205605691041627,-5.19195429731941e-08,1.2754839656064e-07,1.27548396496454e-07,-8.31886266709711e-07,4.95244556103597e-07,4.95244556072652e-07,-11.4930336654289,1.12292785963595,1.12292785689582,-5.0314907041659,10.4543358838213,-1.93756625404015e-09,-2.6372473896098e-06,-1.09512127125137,1.09512393956478,8.82963064643924e-08,3.2411289960059e-06,1.54873724102947,0.000316550232017904,-0.00045297882744684,-210.14377233826,-0.000287663943628039,0.000470909536895202,183.683461095385,2.88862884128529e-05,1.79210452651071e-05,-8.91325349849536,-2.62918115781421e-06,-13.5027647959371,13.502767456724,8.82963181468489e-08,3.23146481513593e-06,19.0957949854087,-5.7934684255787e-18,-8.69882343176361e-06,8.69882343249755e-06,0.000704852340041456,3.44253444149625e-06,-1.34738154064489e-05,-2.45821957235616e-08,361.727099118594,-302.785456760659,-78.7326760737274,1.1474267442318,1,1,19.3865663227016,-0.290771337292984
0.0005,-2.58314530585051e-10,-6.06045728150054e-10,-6.06045660578261e-10,1.65220638288283e-09,-1.50465048439998e-09,-1.50465063959496e-09,6.96945929157674e-10,-1.05534811950836e-09,-1.05534817906438e-09,-100.218126932597,193.201611919784,193.201612135041,88.7161845618526,-192.087245824928,-192.087246043688,172.252445839452,234.581942694283,1.5221009546079e-07,-177.299328986495,-224.127089646941,-1.54686393338473e-07,-1.63855606047886e-06,-13.656994917526,13.6569964599887,-1.54058090145297e-06,0.206161069535394,-0.206159390356904,-6.41953234231781e-08,1.58024123029972e-07,1.58024122950629e-07,-1.03016278916237e-06,6.13405392673647e-07,6.13405392635332e-07,-11.5019423707447,1.11436609485534,1.11436609135329,-5.04688314704367,10.4548530473423,-2.47632226684847e-09,-3.18889776903441e-06,-1.09286005702296,1.09286328776758,1.09184011757869e-07,3.92077887915464e-06,1.54553979889914,0.000361435737001348,-0.000533068050593684,-209.374932997565,-0.00032748600212779,0.000554239873762635,182.986351831744,3.39497348961248e-05,2.11601304056839e-05,-8.91176703362057,-3.17913696193987e-06,-13.4508338479906,13.4508370696318,1.09184021685305e-07,3.90908611642357e-06,19.0223539310997,-7.1018833369446e-18,-1.07732525730816e-05,1.07732525737789e-05,0.000872940156282056,4.25626007944657e-06,-1.65755418519846e-05,-3.04396634559372e-08,359.489193849957,-302.105542484901,-76.9949038554711,1.12151576904756,1,1,19.3139085243114,-0.291554593211799
0.0006,-3.09378241990975e-10,-7.21310783943579e-10,-7.21310724408582e-10,1.96122351414222e-09,-1.78928039691062e-09,-1.78928056017741e-09,8.25922639633855e-10,-1.2552956061314e-09,-1.25529567672788e-09,-99.571686563844,192.724143106444,192.724143356102,88.0606787348475,-191.618216964771,-191.618217218723,172.040637059895,233.6756387282,1.7653504566266e-07,-177.10285219032,-223.220040534947,-1.79571496782086e-07,-1.90041191903763e-06,-13.6064813274333,13.6064831183305,-1.78609366290697e-06,0.206705734027433,-0.206703783816074,-7.61935999950643e-08,1.87942886636323e-07,1.87942886542173e-07,-1.22461483947043e-06,7.29336990482189e-07,7.29336990436648e-07,-11.5110078289966,1.10592614167332,1.10592613737909,-5.06221513042456,10.4555981932527,-3.03647947344727e-09,-3.69783324897203e-06,-1.09065492694738,1.09065867861539,1.29599871546721e-07,4.54860453736102e-06,1.54242164238792,0.000392706905515313,-0.000600001429708427,-208.619777791444,-0.000354549294987466,0.000623922577674385,182.301578489272,3.81576105499717e-05,2.39075802997165e-05,-8.91047392224638,-3.6865055819542e-06,-13.3997755934058,13.3997793345144,1.29599879735472e-07,4.53503686984551e-06,18.9501470223138,-8.35546004099692e-18,-1.28081220852526e-05,1.2808122085914e-05,0.00103782251636017,5.05150600243325e-06,-1.95724293831302e-05,-3.61834990207775e-08,357.24858455958,-301.401854488918,-75.2796586573731,1.09594118948115,1,1,19.2424716957879,-0.292324673474204
0.0007,-3.60239218351027e-10,-8.34624394118048e-10,-8.3462434240641e-10,2.26322289313219e-09,-2.06856354213118e-09,-2.06856371322063e-09,9.51491841481176e-10,-1.45159398624239e-09,-1.45159406759464e-09,-98.9342192765947,192.256585682543,192.256585963747,87.4139909980323,-191.158978418282,-191.158978704602,171.835603013573,232.784511168475,1.98841208649938e-07,-176.913089544283,-222.327941882667,-2.02459041800667e-07,-2.14052529755544e-06,-13.5568258081058,13.5568278276145,-2.01093602542265e-06,0.207241127497546,-0.207238927642217,-8.7916441808467e-08,2.17308480482368e-07,2.17308480373757e-07,-1.41526919040655e-06,8.43054790639639e-07,8.43054790587015e-07,-11.5202282785625,1.09760726426135,1.09760725914492,-5.07748653070949,10.4565692858072,-3.61786540323647e-09,-4.16422867282508e-06,-1.08850549779879,1.08850972905788,1.49545238272623e-07,5.1248203313957e-06,1.53938222965672,0.000410406979933535,-0.000653832139521213,-207.878221609582,-0.000368893224871325,0.000680013241627268,181.629064649875,4.15137550838705e-05,2.61658125596056e-05,-8.90937249845886,-4.15146132298923e-06,-13.3495846806082,13.3495888999723,1.49545244738977e-07,5.10953078190154e-06,18.8791666909052,-9.55476987308463e-18,-1.48037074970276e-05,1.48037074976537e-05,0.00119952174594853,5.82841394745925e-06,-2.24654040239059e-05,-4.18145025740181e-08,355.005269055941,-300.674522299403,-73.5867972659698,1.07070088228368,1,1,19.172248348561,-0.293081657655899
0.0008,-4.10896172461415e-10,-9.45999380527648e-10,-9.45999336427792e-10,2.55825750392543e-09,-2.34253704613298e-09,-2.34253722479811e-09,1.07368067033803e-09,-1.64426823380455e-09,-1.64426832563024e-09,-98.3056753717754,191.798873805005,191.798874114912,86.7760734139548,-190.709465078214,-190.70946539409,171.637293998992,231.908466788488,2.19137256886413e-07,-176.729991223291,-221.450702499228,-2.23357528386929e-07,-2.35898589848785e-06,-13.5080230642829,13.5080252926642,-2.21519259167648e-06,0.207767306259688,-0.20776487805841,-9.93659179830001e-08,2.4612469767078e-07,2.46124697548054e-07,-1.60215261474337e-06,9.54574234256412e-07,9.54574234196849e-07,-11.5296019578206,1.08940872679089,1.08940872082247,-5.09269722429942,10.4577642892606,-4.22030758561598e-09,-4.58825888399598e-06,-1.08641138635131,1.08641605604469,1.69021464377253e-07,5.64964062202936e-06,1.53642101886644,0.000414579202629747,-0.000694613354762188,-207.150179341666,-0.000370557194443623,0.0007225674586181,180.96873389546,4.4022008207298e-05,2.79372447977521e-05,-8.9084610963441,-4.57417849017701e-06,-13.3002557580232,13.3002604146057,1.69021469137451e-07,5.63278155909147e-06,18.8094053687284,-1.07003841685567e-17,-1.67602843371575e-05,1.67602843377492e-05,0.00135806017071982,6.58712565152749e-06,-2.5255391798332e-05,-4.73334742715941e-08,352.759245147518,-299.923675443048,-71.9161764677973,1.04579272420626,1,1,19.1032309940609,-0.293825625332584
0.0009,-4.61347817118351e-10,-1.05544856502657e-09,-1.05544852832877e-09,2.84638033059464e-09,-2.61123803498733e-09,-2.61123822098333e-09,1.19251626184282e-09,-1.83334332278107e-09,-1.83334342480028e-09,-97.6860051503118,191.350941630754,191.350941966533,86.1468780451629,-190.26961183732,-190.26961217995,171.445660314657,231.047412361621,2.37431862835872e-07,-176.553507402252,-220.588231193753,-2.42275456533582e-07,-2.55588342429043e-06,-13.460067800704,13.4600702183029,-2.39894796434495e-06,0.208284326627815,-0.208281691287731,-1.10544097638278e-07,2.74395331304236e-07,2.74395331167735e-07,-1.78529188525356e-06,1.06391076244292e-06,1.06391076237656e-06,-11.5391271051489,1.08132979343338,1.08132978658346,-5.10784708759527,10.4591811678677,-4.84363354998569e-09,-4.97009872588717e-06,-1.08437220937909,1.08437727652548,1.88029902302287e-07,6.12327977003265e-06,1.53353746817797,0.000405266815977684,-0.000722398250161497,-206.43556587738,-0.00035958060636862,0.000751640821643697,180.320509807932,4.56862096297311e-05,2.92242946265566e-05,-8.90773804998816,-4.95483138864957e-06,-13.2517834740762,13.2517885270152,1.88029905372521e-07,6.10500290791509e-06,18.7408554876377,-1.17928742627621e-17,-1.86781281343936e-05,1.86781281349515e-05,0.00151346011634677,7.3277828516409e-06,-2.79433187304286e-05,-5.2741214269441e-08,350.510510642792,-299.149443446548,-70.2676530493919,1.021214592,1,1,19.0354121437176,-0.294556656079959
