time_s,lead_position_x_m,lead_position_y_m,lead_position_z_m,trail_position_x_m,trail_position_y_m,trail_position_z_m,midpoint_position_x_m,midpoint_position_y_m,midpoint_position_z_m,lead_force_global_x_n,lead_force_global_y_n,lead_force_global_z_n,trail_force_global_x_n,trail_force_global_y_n,trail_force_global_z_n,lead_force_local_source_x_n,lead_force_local_source_y_n,lead_force_local_source_z_n,trail_force_local_source_x_n,trail_force_local_source_y_n,trail_force_local_source_z_n,lead_free_torque_global_x_nm,lead_free_torque_global_y_nm,lead_free_torque_global_z_nm,trail_free_torque_global_x_nm,trail_free_torque_global_y_nm,trail_free_torque_global_z_nm,lead_velocity_global_x_m_s,lead_velocity_global_y_m_s,lead_velocity_global_z_m_s,trail_velocity_global_x_m_s,trail_velocity_global_y_m_s,trail_velocity_global_z_m_s,resultant_force_global_source_x_n,resultant_force_global_source_y_n,resultant_force_global_source_z_n,resultant_force_local_source_x_n,resultant_force_local_source_y_n,resultant_force_local_source_z_n,equivalent_midpoint_couple_global_source_x_nm,equivalent_midpoint_couple_global_source_y_nm,equivalent_midpoint_couple_global_source_z_nm,equivalent_midpoint_couple_local_source_x_nm,equivalent_midpoint_couple_local_source_y_nm,equivalent_midpoint_couple_local_source_z_nm,lead_force_moment_midpoint_local_source_x_nm,lead_force_moment_midpoint_local_source_y_nm,lead_force_moment_midpoint_local_source_z_nm,trail_force_moment_midpoint_local_source_x_nm,trail_force_moment_midpoint_local_source_y_nm,trail_force_moment_midpoint_local_source_z_nm,force_moment_midpoint_local_source_x_nm,force_moment_midpoint_local_source_y_nm,force_moment_midpoint_local_source_z_nm,total_free_torque_global_source_x_nm,total_free_torque_global_source_y_nm,total_free_torque_global_source_z_nm,total_free_torque_local_source_x_nm,total_free_torque_local_source_y_nm,total_free_torque_local_source_z_nm,midpoint_angular_velocity_global_x_deg_s,midpoint_angular_velocity_global_y_deg_s,midpoint_angular_velocity_global_z_deg_s,club_handle_angular_velocity_deg_s,clubhead_speed_mph,angle_of_attack_deg,lag_angle_rad,lead_linear_power_w,trail_linear_power_w,lead_angular_power_w,trail_angular_power_w,killswitch_state,kill_damping_state,lead_command_torque_nm,trail_command_torque_nm
0,-0.408944826046743,-0.345931956512505,0.731698778015793,-0.366821784220765,-0.301031570393191,0.776599164135107,-0.387883305133754,-0.323481763452848,0.75414897107545,0.490721685373972,0.114389138517061,0.294344894091161,-0.379863819695184,-0.520423529077138,-0.203931521738175,0.512112939135635,-0.249158312669319,0.127247935079996,-0.636808937457724,0.0334068631901694,0.223793644580723,1.57964334482616,-0.421093700187251,-0.42109370018725,-1.5761533724003,0.419456651297792,0.419456651297792,1.19022002039204,1.26173193770223,1.26173193770223,1.46728551956735,1.13176822670781,1.13176822670781,0.110857865678788,-0.406034390560078,0.0904133723529867,-0.124695998322089,-0.21575144947915,0.351041579660719,0.00655523763761773,-0.0106874024007616,0.00453764349991759,1.59594559789866e-16,-0.00786644187386489,0.0107657332002467,8.32667268468867e-17,0.113432052648263,0.222106070504729,-3.81639164714898e-17,0.182442283154341,-0.0272341263526847,2.77555756156289e-17,0.299552727334582,0.184106210951798,0.00348997242585458,-0.0016370488894587,-0.00163704888945854,1.11022302462516e-16,-0.00418805034188718,9.19403442267708e-17,-4.44089209850063e-16,3.08533537372109,-3.08533537372109,-250,11.5592251121108,-6.37528322889728,1.91986217719376,1.09977955734025,-1.37717071341438,-1.77635683940025e-15,1.11022302462516e-15,0,0,0,0
0.0001,-0.408821248313087,-0.345801734470916,0.731829000057382,-0.366695811510965,-0.300902474571378,0.776728259956921,-0.387758529912026,-0.323352104521147,0.754278630007151,8.46239874749874,-8.28701289704848,-8.10259976872143,-9.48783940434501,7.73595062964887,8.05769629940767,-4.95321954733939,-13.4693284874672,0.130399773579882,4.03354309805859,14.0892605979385,0.227508544903857,1.58201959121137,-0.422626918603266,-0.422626918603258,-1.57328049129651,0.418578492368258,0.418578492368258,1.1878999532985,1.2549824155633,1.2549824155633,1.45899253456288,1.12782074602693,1.12782074602693,-1.02544065684627,-0.551062267399609,-0.0449034693137613,-0.919676449280805,0.619932110471243,0.357908318483736,0.0118221696570915,-0.747944284382561,0.736954845550909,5.88221819292435e-05,-0.0141467392997928,1.04998224415396,-5.34226550244157e-05,0.116381229902728,12.1075579617702,0.000159222685646674,0.185333698469355,-11.5709287858906,0.000105800030620411,0.305414772559526,-0.513353068274403,0.00873909991485967,-0.00404842623500737,-0.00404842623499981,5.88221819287434e-05,-0.0104468951123479,5.32946196992611e-15,-4.33822857932684e-16,3.01882015269708,-3.01882015269708,-244.610373511536,11.5560726161599,-5.94604361888546,1.92026508404118,-5.99500053152575,4.85540736393442,-2.19637000119633e-15,1.09062435554868e-15,0,0,0,0
0.0002,-0.40869809696731,-0.345672305918909,0.731958428609389,-0.366570290830511,-0.300774160162537,0.776856574365761,-0.38763419389891,-0.323223233040723,0.754407501487575,16.3395910867511,-16.5914450157396,-16.4025601308728,-18.488093404483,15.8972174642325,16.2242356352377,-10.3567778453033,-26.5348339179614,0.133561782952944,8.65166967355534,27.9809074132073,0.231236766288998,1.58440798967943,-0.42416318003564,-0.424163180035625,-1.57039745708364,0.417689065497994,0.417689065497994,1.18552049542007,1.24821285259498,1.24821285259498,1.45071567680933,1.12381780837166,1.12381780837166,-2.14850231773195,-0.69422755150717,-0.178324495635196,-1.70510817174799,1.44607349524592,0.364798549241936,0.0171115064287717,-1.47662487708715,1.46076704161596,0.000113729596811674,-0.0204569546683281,2.07704974471754,-6.06531581366553e-05,0.119318281035489,23.8549579429762,0.000275546482677819,0.188254602687254,-22.9806455210723,0.000214893324537547,0.311294300587846,-1.20273732281365,0.0140105325957881,-0.00647411453764635,-0.0064741145376315,0.00011372959681075,-0.0167355378032215,1.04768938462145e-14,-4.23714262914132e-16,2.95314582871589,-2.95314582871589,-239.288883622579,11.5517559483445,-5.53024736494126,1.9206664486949,-12.9518035860594,10.962573841458,-2.57947728350792e-15,1.07123384615098e-15,0,0,0,0
0.0003,-0.408575374391395,-0.34554367111731,0.732087063410989,-0.366445224589653,-0.300646627414579,0.776984107113719,-0.387510299490524,-0.323095149265945,0.754535585262354,24.1228340912299,-24.7994414585046,-24.6060705481645,-27.3812345920272,23.9639005260417,24.2962098906924,-15.6988959717261,-39.4465382723288,0.136733881985705,13.2178515220957,41.7092636593751,0.234978205196326,1.58680845853986,-0.425702438375683,-0.42570243837566,-1.56750435228306,0.4167884342229,0.4167884342229,1.18308192438057,1.2414233647204,1.24142336472039,1.44245475726149,1.11975974838597,1.11975974838597,-3.25840050079727,-0.835540932462969,-0.309860657472143,-2.48104444963045,2.26272538704625,0.371712087182023,0.0224230830540764,-2.1967770255815,2.17602229676327,0.000164750176135377,-0.0267968642775519,3.09203605359792,-2.18968439904534e-05,0.122243237232171,35.4650742338832,0.000349151193530532,0.191204820881568,-34.2571296337557,0.000327254349534755,0.317191166828063,-1.88409145347042,0.0193041062567951,-0.00891400415278269,-0.0089140041527607,0.000164750176134055,-0.0230537555632229,1.55347593918146e-14,-4.13762369784561e-16,2.88830720638444,-2.88830720638444,-234.035109358385,11.5462862579679,-5.12778184281381,1.92106626582286,-19.7714394388808,16.9451052367545,-2.92619168070723e-15,1.05205055029135e-15,0,0,0,0
0.0004,-0.408453082967326,-0.345415830326944,0.732214904201354,-0.366320615198643,-0.300519876575412,0.777110857952887,-0.387386849082984,-0.322967853451178,0.754662881077121,31.8126631490343,-32.9115364662917,-32.7136653763978,-36.1678717388955,31.9365233664445,32.2741424707124,-20.9799079435777,-52.2053052187464,0.139915989464691,17.7323693767427,55.27524568682,0.238732758086018,1.58922091610217,-0.427244647514701,-0.427244647514671,-1.56460125941614,0.415876662078877,0.415876662078877,1.1805845178038,1.2346140678627,1.2346140678627,1.43420958687415,1.11564690071386,1.11564690071386,-4.35520858986123,-0.975013099847214,-0.439522905685432,-3.24753856683497,3.0699404680736,0.378648747550698,0.0277567346344235,-2.90844857493258,2.88276867606101,0.000211911851388277,-0.0331662444255452,4.09500898950209,6.26409527603717e-05,0.125156129678399,46.9386750542515,0.00038021662064195,0.194184178125827,-45.4011264257987,0.000442857573395351,0.323105226688699,-2.55746036104923,0.0246196566860358,-0.0113679854358235,-0.0113679854357945,0.000211911851386585,-0.0294013255410669,2.05035820254494e-14,-4.03966123534129e-16,2.82429909030967,-2.82429909030967,-228.848629744212,11.5396746943333,-4.73853442825222,1.921464530093,-26.4547179226104,22.803778067422,-3.2370261871665e-15,1.03307352182909e-15,0,0,0,0
0.0005,-0.408331225077085,-0.345288783808637,0.732341950719662,-0.366196465067732,-0.300393907892944,0.777236826635355,-0.387263845072409,-0.32284134585079,0.754789388677508,39.409613648263,-40.928264280049,-40.7258789713743,-44.8486136170059,39.8156095368089,40.1585567802384,-26.2001477778279,-64.8119984253911,0.143108024176424,22.1955039705595,68.6797698459205,0.242500321418252,1.59164528067591,-0.428789761344002,-0.428789761343966,-1.56168826100424,0.414953812601827,0.414953812601826,1.17802855331359,1.22778507794503,1.22778507794502,1.42597997660207,1.11147959999931,1.11147959999931,-5.43899996874284,-1.11265474324011,-0.567322191135889,-4.00464380726837,3.86777142052933,0.385608345594664,0.0331122962712311,-3.61168737020739,3.58105424457738,0.000255242554058301,-0.039564871410389,5.08603637113699,0.000192754897462002,0.128056989559801,58.2765286238416,0.000368922566449207,0.197192499493561,-56.4133811990592,0.000561677463902651,0.329036335578276,-3.22288894635456,0.0299570196716653,-0.0138359487421757,-0.0138359487421398,0.000255242554056264,-0.0357780248854683,2.53838851658415e-14,-3.94324469152993e-16,2.76111628509852,-2.76111628509852,-223.729023805316,11.5319324067438,-4.36239249700562,1.92186123617326,-33.0024488698684,28.5393688510588,-3.51249379725794e-15,1.0143018146235e-15,0,0,0,0
0.0006,-0.408209803102658,-0.345162531823214,0.732468202705085,-0.366072776607172,-0.300268721615083,0.777362012913215,-0.387141289854915,-0.322715626719148,0.75491510780915,46.9142209770151,-48.8501591407248,-48.6432456888952,-53.4240689982762,47.6016825885029,47.9499762242109,-31.3599494914468,-77.2674815604401,0.146309904907429,26.6075360366094,81.9237524870549,0.246280791653207,1.59408147057059,-0.430337733754896,-0.430337733754853,-1.55876543956875,0.414019949327649,0.414019949327649,1.17541430853372,1.22093651089051,1.22093651089051,1.41776573740005,1.1072581808863,1.1072581808863,-6.50984802126111,-1.24847655222187,-0.693269464684341,-4.75241345483743,4.65627092661482,0.392590696560621,0.0384896030659171,-4.30654125647289,4.27092706738055,0.000294770215633372,-0.0459925215301646,6.06518601720958,0.00036823965546062,0.130945848062,69.4794031624137,0.000315448833389439,0.2002296100583,-67.294639255395,0.000683688488839974,0.334984348905314,-3.88042211019091,0.0353160310018389,-0.0163177844272466,-0.0163177844272039,0.000294770215631017,-0.042183630745142,3.01761922317138e-14,-3.84836351631308e-16,2.69875359535792,-2.69875359535792,-218.675870566955,11.5230705445027,-3.99924342482312,1.92225637873158,-39.415442113275,34.1526541052629,-3.75310750535377e-15,9.95734482533875e-16,0,0,0,0
0.0007,-0.408088819426026,-0.3450370746315,0.732593659896798,-0.365949552227213,-0.30014431798974,0.777486416538559,-0.38701918582662,-0.32259069631062,0.755040038217679,54.3270205233895,-56.6777552892673,-56.466299884762,-61.8948466546246,55.2952660728946,55.6489242075704,-36.4596471014042,-89.5726182920702,0.149521550444229,30.9687463079553,95.0081099606016,0.250074065251062,1.59652940409573,-0.431888518638688,-0.431888518638639,-1.55583287763102,0.413075135792245,0.413075135792245,1.17274206108802,1.21406848262231,1.21406848262231,1.40956668022287,1.10298297801882,1.10298297801882,-7.56782613123505,-1.38248921637269,-0.817375677191616,-5.49090079344895,5.43549166853143,0.399595615695274,0.0438884901198996,-4.99305807879605,4.95243520953871,0.000330522767601418,-0.0524489710829528,7.03252574642681,0.000588889892102407,0.133822736370622,80.5480668897282,0.000219975223899782,0.203295334893573,-78.0456458966641,0.000808865115990634,0.340949122078335,-4.53010475336276,0.0406965264647117,-0.0188133828464431,-0.0188133828463937,0.00033052276759877,-0.0486179202688027,3.48810266417891e-14,-3.75500715959232e-16,2.6372058256948,-2.63720582569479,-213.688749054384,11.5131002569133,-3.64897458745383,1.92264995243589,-45.6945074854505,39.6444103476326,-3.95938030582621e-15,9.77370579419524e-16,0,0,0,0
0.0008,-0.407968276429173,-0.344912412494322,0.732718322033977,-0.365826794338107,-0.300020697264821,0.777610037263477,-0.38689753538364,-0.322466554879572,0.755164179648727,61.6485476754851,-64.4115869666248,-64.1955759147762,-70.2615553579688,62.896883541352,63.2559241352577,-41.4995746246702,-101.728272288458,0.152742879573349,35.2794155176604,107.933758616939,0.253880038671993,1.59898899956086,-0.433442069886689,-0.433442069886633,-1.55289065771242,0.412119435531517,0.412119435531516,1.17001208860029,1.20718110906354,1.20718110906354,1.4013826160253,1.09865432604086,1.09865432604086,-8.61300768248367,-1.5147034252728,-0.939651779518541,-6.22015910700974,6.20548632848052,0.406622918245322,0.0493087925345966,-5.67128568224387,5.62562673612006,0.000362528141450362,-0.0589339963668348,7.98812337749566,0.000854500272733545,0.136687685671293,91.4832880255455,8.26815404173719e-05,0.20638949907291,-88.6671464247245,0.000937181813137951,0.346930510505861,-5.17198177667462,0.0460983418484388,-0.0213226343551722,-0.0213226343551164,0.000362528141447448,-0.0550806706051654,3.94989118147902e-14,-3.66316507126921e-16,2.57646778071609,-2.57646778071609,-208.767238292861,11.5020326932786,-3.31147336064688,1.92304195195414,-51.8404548190151,45.015414095766,-4.13182519304748e-15,9.59209159139741e-16,0,0,0,0
0.0009,-0.407848176494083,-0.344788545672504,0.732842188855794,-0.365704505350106,-0.299897859688237,0.777732874840062,-0.386776340922094,-0.322343202680371,0.755287531847928,68.8793378214009,-72.0521884137454,-71.8316081347391,-78.5248038802269,70.407058545243,70.7714994122132,-46.4800660782145,-113.735307217782,0.155973811081312,39.5398243987879,120.701614806445,0.257698608376179,1.60146017527551,-0.434998341390205,-0.434998341390142,-1.54993886233433,0.411152912081364,0.411152912081363,1.16722466869434,1.20027450613735,1.20027450613735,1.39321335576213,1.09427255959639,1.09427255959639,-9.64546605882597,-1.64512986850238,-1.06010872252594,-6.9402416794266,6.96630758866346,0.413672419457469,0.0547503454114261,-6.34127191188331,6.29054971219278,0.000390814268668131,-0.0654473736798915,8.93204672912307,0.00116486546270022,0.139540727149638,102.285834789626,-9.62524146206565e-05,0.20951192766984,-99.1598861414338,0.00106861304806524,0.352928369596413,-5.80609808093098,0.0515213129411754,-0.0238454293088412,-0.0238454293087789,0.000390814268664976,-0.0615716589029448,4.40303711694398e-14,-3.57282670124531e-16,2.51653426502874,-2.51653426502873,-203.910917307642,11.4898790029021,-2.98662712015139,1.92343237195426,-57.8540939465892,50.2664418672612,-4.27095516138982e-15,9.41249275553827e-16,0,0,0,0
